COMPANY	SCREEN	RESOLUTION	RAM	PROCESSOR MAKE	OS	NET STANDART	STORAGE	BROWSER
Microsoft	6.9‘	HD	4Gb	QS650	iOS	CDMA	16Gb	CHROME
Samsung	5.5'	4K	16Gb	A10	BlackBerry OS	GSM	32Gb	SAFARI
BlackBerry	5.5'	FullHD	2Gb	A11	Windows Phone	3G	8Gb	CHROME
Sony	5.2'	FullHD	8Gb	QS820	Android	LTE	16Gb	SAFARI
Apple	5'	HD	16Gb	MSM8230	BlackBerry OS	LTE	128Gb	CHROME
Xiaomi	6'	4K	3Gb	MSM8230	Android	GSM	32Gb	CHROME
Microsoft	5.2'	HD	6Gb	MSM8230	Windows Phone	3G	64Gb	SAFARI
Apple	5'	4K	8Gb	A11	iOS	CDMA	512Gb	SAFARI
BlackBerry	5'	FullHD	3Gb	QS650	iOS	GSM	64Gb	SAFARI
Samsung	5'	HD	6Gb	QS820	Android	3G	512Gb	CHROME
Xiaomi	6.9‘	FullHD	2Gb	A10	BlackBerry OS	3G	128Gb	SAFARI
BlackBerry	6.9‘	4K	8Gb	A10	Windows Phone	LTE	32Gb	CHROME
Apple	6.9‘	FullHD	4Gb	QS820	Windows Phone	GSM	512Gb	SAFARI
Sony	4.5'	4K	6Gb	A11	Android	CDMA	128Gb	CHROME
Samsung	6'	FullHD	3Gb	QS650	Windows Phone	CDMA	128Gb	SAFARI
Xiaomi	5.2'	4K	2Gb	QS820	BlackBerry OS	CDMA	64Gb	CHROME
Xiaomi	5.5'	HD	2Gb	MSM8230	iOS	LTE	16Gb	SAFARI
Sony	6'	HD	2Gb	QS650	BlackBerry OS	GSM	8Gb	SAFARI
Microsoft	4.5'	HD	3Gb	A10	iOS	LTE	8Gb	SAFARI
Apple	5.2'	4K	3Gb	QS650	iOS	3G	512Gb	SAFARI
Apple	5.5'	HD	8Gb	A10	Android	CDMA	64Gb	SAFARI
Microsoft	4.5'	FullHD	8Gb	QS650	BlackBerry OS	3G	32Gb	SAFARI
Apple	6.9‘	HD	2Gb	A11	Android	CDMA	32Gb	CHROME
Samsung	6.9‘	4K	3Gb	A11	BlackBerry OS	GSM	16Gb	SAFARI
BlackBerry	6'	FullHD	16Gb	QS820	iOS	LTE	512Gb	SAFARI
Microsoft	6'	4K	4Gb	A11	Android	LTE	64Gb	CHROME
Microsoft	6.9‘	4K	16Gb	MSM8230	Android	CDMA	8Gb	CHROME
Sony	5.5'	HD	3Gb	A10	Windows Phone	3G	512Gb	SAFARI
Samsung	4.5'	FullHD	8Gb	MSM8230	iOS	GSM	8Gb	CHROME
BlackBerry	5.2'	FullHD	6Gb	A11	iOS	GSM	128Gb	CHROME
BlackBerry	4.5'	HD	4Gb	A10	Windows Phone	3G	16Gb	SAFARI
Xiaomi	4.5'	HD	16Gb	QS820	Windows Phone	3G	64Gb	CHROME
Xiaomi	5'	4K	4Gb	MSM8230	BlackBerry OS	LTE	8Gb	SAFARI
Samsung	5.5'	HD	4Gb	QS650	Android	LTE	128Gb	SAFARI
BlackBerry	4.5'	HD	2Gb	MSM8230	BlackBerry OS	CDMA	512Gb	SAFARI
Microsoft	5.5'	4K	6Gb	QS820	BlackBerry OS	GSM	512Gb	CHROME
Apple	6'	4K	6Gb	A10	Windows Phone	3G	16Gb	CHROME
Xiaomi	5.2'	HD	6Gb	QS650	iOS	LTE	32Gb	CHROME
Apple	4.5'	FullHD	6Gb	QS820	Windows Phone	GSM	8Gb	SAFARI
Sony	5'	4K	16Gb	MSM8230	iOS	LTE	32Gb	CHROME
BlackBerry	5.2'	HD	4Gb	A10	Android	LTE	32Gb	CHROME
Samsung	5'	FullHD	2Gb	A10	Windows Phone	GSM	64Gb	CHROME
Microsoft	5'	4K	2Gb	QS820	iOS	3G	128Gb	CHROME
Samsung	5.2'	4K	3Gb	QS820	Windows Phone	3G	32Gb	CHROME
Xiaomi	5'	FullHD	16Gb	A11	Android	CDMA	16Gb	CHROME
Sony	6.9‘	HD	6Gb	QS650	Windows Phone	GSM	64Gb	CHROME
Xiaomi	6'	4K	8Gb	MSM8230	BlackBerry OS	LTE	128Gb	SAFARI
Sony	5.2'	HD	16Gb	QS650	BlackBerry OS	GSM	8Gb	SAFARI
Xiaomi	5'	HD	4Gb	QS650	BlackBerry OS	GSM	512Gb	CHROME
Sony	5'	HD	4Gb	MSM8230	Windows Phone	CDMA	64Gb	SAFARI
